증권사,날짜,텍스트
키움증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_151.pdf'
신한투자증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_152.pdf'
하이투자증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_153.pdf'
IBK투자증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_154.pdf'
교보증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_155.pdf'
교보증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_156.pdf'
신한투자증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_157.pdf'
유진투자증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_158.pdf'
다올투자증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_159.pdf'
유안타증권,24.02.22,[Errno 2] No such file or directory: 'rawReport/6_160.pdf'
신한투자증권,24.02.21,[Errno 2] No such file or directory: 'rawReport/6_161.pdf'
교보증권,24.02.21,[Errno 2] No such file or directory: 'rawReport/6_162.pdf'
하나증권,24.02.21,[Errno 2] No such file or directory: 'rawReport/6_163.pdf'
유안타증권,24.02.21,[Errno 2] No such file or directory: 'rawReport/6_164.pdf'
다올투자증권,24.02.21,[Errno 2] No such file or directory: 'rawReport/6_165.pdf'
유진투자증권,24.02.21,[Errno 2] No such file or directory: 'rawReport/6_166.pdf'
신한투자증권,24.02.21,[Errno 2] No such file or directory: 'rawReport/6_167.pdf'
교보증권,24.02.20,[Errno 2] No such file or directory: 'rawReport/6_168.pdf'
유진투자증권,24.02.20,[Errno 2] No such file or directory: 'rawReport/6_169.pdf'
다올투자증권,24.02.20,[Errno 2] No such file or directory: 'rawReport/6_170.pdf'
유안타증권,24.02.20,[Errno 2] No such file or directory: 'rawReport/6_171.pdf'
신한투자증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_172.pdf'
한화투자증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_173.pdf'
교보증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_174.pdf'
하나증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_175.pdf'
키움증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_176.pdf'
다올투자증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_177.pdf'
유안타증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_178.pdf'
유진투자증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_179.pdf'
유진투자증권,24.02.19,[Errno 2] No such file or directory: 'rawReport/6_180.pdf'
