증권사,날짜,텍스트
유안타증권,23.02.09,[Errno 2] No such file or directory: 'rawReport/76_2251.pdf'
교보증권,23.02.09,[Errno 2] No such file or directory: 'rawReport/76_2252.pdf'
하나증권,23.02.09,[Errno 2] No such file or directory: 'rawReport/76_2253.pdf'
신한투자증권,23.02.09,[Errno 2] No such file or directory: 'rawReport/76_2254.pdf'
유진투자증권,23.02.09,[Errno 2] No such file or directory: 'rawReport/76_2255.pdf'
다올투자증권,23.02.09,[Errno 2] No such file or directory: 'rawReport/76_2256.pdf'
미래에셋증권,23.02.09,[Errno 2] No such file or directory: 'rawReport/76_2257.pdf'
메리츠증권,23.02.09,[Errno 2] No such file or directory: 'rawReport/76_2258.pdf'
유진투자증권,23.02.08,[Errno 2] No such file or directory: 'rawReport/76_2259.pdf'
유안타증권,23.02.08,[Errno 2] No such file or directory: 'rawReport/76_2260.pdf'
교보증권,23.02.08,[Errno 2] No such file or directory: 'rawReport/76_2261.pdf'
하나증권,23.02.08,[Errno 2] No such file or directory: 'rawReport/76_2262.pdf'
다올투자증권,23.02.08,[Errno 2] No such file or directory: 'rawReport/76_2263.pdf'
유진투자증권,23.02.07,[Errno 2] No such file or directory: 'rawReport/76_2264.pdf'
교보증권,23.02.07,[Errno 2] No such file or directory: 'rawReport/76_2265.pdf'
교보증권,23.02.07,[Errno 2] No such file or directory: 'rawReport/76_2266.pdf'
한화투자증권,23.02.07,[Errno 2] No such file or directory: 'rawReport/76_2267.pdf'
유안타증권,23.02.07,[Errno 2] No such file or directory: 'rawReport/76_2268.pdf'
다올투자증권,23.02.07,[Errno 2] No such file or directory: 'rawReport/76_2269.pdf'
신한투자증권,23.02.06,[Errno 2] No such file or directory: 'rawReport/76_2270.pdf'
키움증권,23.02.06,[Errno 2] No such file or directory: 'rawReport/76_2271.pdf'
유안타증권,23.02.06,[Errno 2] No such file or directory: 'rawReport/76_2272.pdf'
한화투자증권,23.02.06,[Errno 2] No such file or directory: 'rawReport/76_2273.pdf'
교보증권,23.02.06,[Errno 2] No such file or directory: 'rawReport/76_2274.pdf'
다올투자증권,23.02.06,[Errno 2] No such file or directory: 'rawReport/76_2275.pdf'
유진투자증권,23.02.06,[Errno 2] No such file or directory: 'rawReport/76_2276.pdf'
키움증권,23.02.06,[Errno 2] No such file or directory: 'rawReport/76_2277.pdf'
신한투자증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/76_2278.pdf'
유안타증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/76_2279.pdf'
교보증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/76_2280.pdf'
