증권사,날짜,텍스트
대우증권,10.01.05,[Errno 2] No such file or directory: 'rawReport/213_6361.pdf'
IBK투자증권,10.01.05,[Errno 2] No such file or directory: 'rawReport/213_6362.pdf'
대우증권,10.01.04,[Errno 2] No such file or directory: 'rawReport/213_6363.pdf'
대우증권,10.01.04,[Errno 2] No such file or directory: 'rawReport/213_6364.pdf'
IBK투자증권,10.01.04,[Errno 2] No such file or directory: 'rawReport/213_6365.pdf'
IBK투자증권,10.01.04,[Errno 2] No such file or directory: 'rawReport/213_6366.pdf'
대우증권,09.12.30,[Errno 2] No such file or directory: 'rawReport/213_6367.pdf'
IBK투자증권,09.12.30,[Errno 2] No such file or directory: 'rawReport/213_6368.pdf'
대우증권,09.12.29,[Errno 2] No such file or directory: 'rawReport/213_6369.pdf'
IBK투자증권,09.12.29,[Errno 2] No such file or directory: 'rawReport/213_6370.pdf'
대우증권,09.12.28,[Errno 2] No such file or directory: 'rawReport/213_6371.pdf'
대우증권,09.12.28,[Errno 2] No such file or directory: 'rawReport/213_6372.pdf'
IBK투자증권,09.12.28,[Errno 2] No such file or directory: 'rawReport/213_6373.pdf'
IBK투자증권,09.12.24,[Errno 2] No such file or directory: 'rawReport/213_6374.pdf'
IBK투자증권,09.12.24,[Errno 2] No such file or directory: 'rawReport/213_6375.pdf'
대우증권,09.12.24,[Errno 2] No such file or directory: 'rawReport/213_6376.pdf'
대우증권,09.12.23,[Errno 2] No such file or directory: 'rawReport/213_6377.pdf'
IBK투자증권,09.12.23,[Errno 2] No such file or directory: 'rawReport/213_6378.pdf'
대우증권,09.12.22,[Errno 2] No such file or directory: 'rawReport/213_6379.pdf'
IBK투자증권,09.12.22,[Errno 2] No such file or directory: 'rawReport/213_6380.pdf'
대우증권,09.12.21,[Errno 2] No such file or directory: 'rawReport/213_6381.pdf'
IBK투자증권,09.12.21,[Errno 2] No such file or directory: 'rawReport/213_6382.pdf'
대우증권,09.12.18,[Errno 2] No such file or directory: 'rawReport/213_6383.pdf'
IBK투자증권,09.12.17,[Errno 2] No such file or directory: 'rawReport/213_6384.pdf'
대우증권,09.12.17,[Errno 2] No such file or directory: 'rawReport/213_6385.pdf'
IBK투자증권,09.12.16,[Errno 2] No such file or directory: 'rawReport/213_6386.pdf'
대우증권,09.12.16,[Errno 2] No such file or directory: 'rawReport/213_6387.pdf'
IBK투자증권,09.12.16,[Errno 2] No such file or directory: 'rawReport/213_6388.pdf'
대우증권,09.12.15,[Errno 2] No such file or directory: 'rawReport/213_6389.pdf'
대우증권,09.12.14,[Errno 2] No such file or directory: 'rawReport/213_6390.pdf'
