증권사,날짜,텍스트
교보증권,23.08.28,[Errno 2] No such file or directory: 'rawReport/37_1081.pdf'
교보증권,23.08.28,[Errno 2] No such file or directory: 'rawReport/37_1082.pdf'
키움증권,23.08.28,[Errno 2] No such file or directory: 'rawReport/37_1083.pdf'
다올투자증권,23.08.28,[Errno 2] No such file or directory: 'rawReport/37_1084.pdf'
유안타증권,23.08.28,[Errno 2] No such file or directory: 'rawReport/37_1085.pdf'
유진투자증권,23.08.28,[Errno 2] No such file or directory: 'rawReport/37_1086.pdf'
키움증권,23.08.28,[Errno 2] No such file or directory: 'rawReport/37_1087.pdf'
한화투자증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1088.pdf'
교보증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1089.pdf'
교보증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1090.pdf'
하나증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1091.pdf'
이베스트증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1092.pdf'
유안타증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1093.pdf'
다올투자증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1094.pdf'
신한투자증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1095.pdf'
유진투자증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1096.pdf'
신한투자증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1097.pdf'
메리츠증권,23.08.25,[Errno 2] No such file or directory: 'rawReport/37_1098.pdf'
신한투자증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1099.pdf'
키움증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1100.pdf'
하이투자증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1101.pdf'
한화투자증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1102.pdf'
교보증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1103.pdf'
교보증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1104.pdf'
하나증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1105.pdf'
유진투자증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1106.pdf'
다올투자증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1107.pdf'
유안타증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1108.pdf'
신한투자증권,23.08.24,[Errno 2] No such file or directory: 'rawReport/37_1109.pdf'
한화투자증권,23.08.23,[Errno 2] No such file or directory: 'rawReport/37_1110.pdf'
