증권사,날짜,텍스트
현대차증권,12.11.30,[Errno 2] No such file or directory: 'rawReport/190_5671.pdf'
메리츠종금증권,12.11.26,[Errno 2] No such file or directory: 'rawReport/190_5672.pdf'
현대차증권,12.11.26,[Errno 2] No such file or directory: 'rawReport/190_5673.pdf'
현대차증권,12.11.26,[Errno 2] No such file or directory: 'rawReport/190_5674.pdf'
KTB투자증권,12.11.19,[Errno 2] No such file or directory: 'rawReport/190_5675.pdf'
현대차증권,12.11.19,[Errno 2] No such file or directory: 'rawReport/190_5676.pdf'
현대차증권,12.11.19,[Errno 2] No such file or directory: 'rawReport/190_5677.pdf'
키움증권,12.11.12,[Errno 2] No such file or directory: 'rawReport/190_5678.pdf'
현대차증권,12.11.12,[Errno 2] No such file or directory: 'rawReport/190_5679.pdf'
현대차증권,12.11.12,[Errno 2] No such file or directory: 'rawReport/190_5680.pdf'
현대차증권,12.11.12,[Errno 2] No such file or directory: 'rawReport/190_5681.pdf'
현대차증권,12.11.08,[Errno 2] No such file or directory: 'rawReport/190_5682.pdf'
KTB투자증권,12.11.06,[Errno 2] No such file or directory: 'rawReport/190_5683.pdf'
KTB투자증권,12.11.05,[Errno 2] No such file or directory: 'rawReport/190_5684.pdf'
현대차증권,12.11.05,[Errno 2] No such file or directory: 'rawReport/190_5685.pdf'
현대차증권,12.10.31,[Errno 2] No such file or directory: 'rawReport/190_5686.pdf'
현대차증권,12.10.31,[Errno 2] No such file or directory: 'rawReport/190_5687.pdf'
키움증권,12.10.29,[Errno 2] No such file or directory: 'rawReport/190_5688.pdf'
KTB투자증권,12.10.29,[Errno 2] No such file or directory: 'rawReport/190_5689.pdf'
현대차증권,12.10.29,[Errno 2] No such file or directory: 'rawReport/190_5690.pdf'
현대차증권,12.10.29,[Errno 2] No such file or directory: 'rawReport/190_5691.pdf'
현대차증권,12.10.25,[Errno 2] No such file or directory: 'rawReport/190_5692.pdf'
키움증권,12.10.22,[Errno 2] No such file or directory: 'rawReport/190_5693.pdf'
KTB투자증권,12.10.22,[Errno 2] No such file or directory: 'rawReport/190_5694.pdf'
현대차증권,12.10.22,[Errno 2] No such file or directory: 'rawReport/190_5695.pdf'
KTB투자증권,12.10.15,[Errno 2] No such file or directory: 'rawReport/190_5696.pdf'
현대차증권,12.10.15,[Errno 2] No such file or directory: 'rawReport/190_5697.pdf'
현대차증권,12.10.15,[Errno 2] No such file or directory: 'rawReport/190_5698.pdf'
키움증권,12.10.12,[Errno 2] No such file or directory: 'rawReport/190_5699.pdf'
메리츠종금증권,12.10.12,[Errno 2] No such file or directory: 'rawReport/190_5700.pdf'
