증권사,날짜,텍스트
신한투자증권,24.03.18,[Errno 2] No such file or directory: 'rawReport/2_31.pdf'
다올투자증권,24.03.18,[Errno 2] No such file or directory: 'rawReport/2_32.pdf'
하이투자증권,24.03.18,[Errno 2] No such file or directory: 'rawReport/2_33.pdf'
유안타증권,24.03.18,[Errno 2] No such file or directory: 'rawReport/2_34.pdf'
키움증권,24.03.18,[Errno 2] No such file or directory: 'rawReport/2_35.pdf'
유진투자증권,24.03.18,[Errno 2] No such file or directory: 'rawReport/2_36.pdf'
IBK투자증권,24.03.18,[Errno 2] No such file or directory: 'rawReport/2_37.pdf'
신한투자증권,24.03.18,[Errno 2] No such file or directory: 'rawReport/2_38.pdf'
신한투자증권,24.03.15,[Errno 2] No such file or directory: 'rawReport/2_39.pdf'
한화투자증권,24.03.15,[Errno 2] No such file or directory: 'rawReport/2_40.pdf'
교보증권,24.03.15,[Errno 2] No such file or directory: 'rawReport/2_41.pdf'
다올투자증권,24.03.15,[Errno 2] No such file or directory: 'rawReport/2_42.pdf'
유진투자증권,24.03.15,[Errno 2] No such file or directory: 'rawReport/2_43.pdf'
유안타증권,24.03.15,[Errno 2] No such file or directory: 'rawReport/2_44.pdf'
키움증권,24.03.15,[Errno 2] No such file or directory: 'rawReport/2_45.pdf'
교보증권,24.03.14,[Errno 2] No such file or directory: 'rawReport/2_46.pdf'
다올투자증권,24.03.14,[Errno 2] No such file or directory: 'rawReport/2_47.pdf'
유안타증권,24.03.14,[Errno 2] No such file or directory: 'rawReport/2_48.pdf'
유진투자증권,24.03.14,[Errno 2] No such file or directory: 'rawReport/2_49.pdf'
메리츠증권,24.03.14,[Errno 2] No such file or directory: 'rawReport/2_50.pdf'
신한투자증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_51.pdf'
교보증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_52.pdf'
하나증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_53.pdf'
하나증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_54.pdf'
유안타증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_55.pdf'
유진투자증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_56.pdf'
다올투자증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_57.pdf'
신한투자증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_58.pdf'
유안타증권,24.03.13,[Errno 2] No such file or directory: 'rawReport/2_59.pdf'
교보증권,24.03.12,[Errno 2] No such file or directory: 'rawReport/2_60.pdf'
