증권사,날짜,텍스트
메리츠증권,23.04.05,[Errno 2] No such file or directory: 'rawReport/66_1951.pdf'
DS투자증권,23.04.05,[Errno 2] No such file or directory: 'rawReport/66_1952.pdf'
신한투자증권,23.04.04,[Errno 2] No such file or directory: 'rawReport/66_1953.pdf'
한화투자증권,23.04.04,[Errno 2] No such file or directory: 'rawReport/66_1954.pdf'
한화투자증권,23.04.04,[Errno 2] No such file or directory: 'rawReport/66_1955.pdf'
교보증권,23.04.04,[Errno 2] No such file or directory: 'rawReport/66_1956.pdf'
유안타증권,23.04.04,[Errno 2] No such file or directory: 'rawReport/66_1957.pdf'
유진투자증권,23.04.04,[Errno 2] No such file or directory: 'rawReport/66_1958.pdf'
다올투자증권,23.04.04,[Errno 2] No such file or directory: 'rawReport/66_1959.pdf'
신한투자증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1960.pdf'
신한투자증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1961.pdf'
신한투자증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1962.pdf'
키움증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1963.pdf'
유진투자증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1964.pdf'
유안타증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1965.pdf'
교보증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1966.pdf'
키움증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1967.pdf'
다올투자증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1968.pdf'
신한투자증권,23.04.03,[Errno 2] No such file or directory: 'rawReport/66_1969.pdf'
교보증권,23.03.31,[Errno 2] No such file or directory: 'rawReport/66_1970.pdf'
신한투자증권,23.03.31,[Errno 2] No such file or directory: 'rawReport/66_1971.pdf'
유안타증권,23.03.31,[Errno 2] No such file or directory: 'rawReport/66_1972.pdf'
유진투자증권,23.03.31,[Errno 2] No such file or directory: 'rawReport/66_1973.pdf'
하이투자증권,23.03.31,[Errno 2] No such file or directory: 'rawReport/66_1974.pdf'
다올투자증권,23.03.31,[Errno 2] No such file or directory: 'rawReport/66_1975.pdf'
신한투자증권,23.03.30,[Errno 2] No such file or directory: 'rawReport/66_1976.pdf'
유안타증권,23.03.30,[Errno 2] No such file or directory: 'rawReport/66_1977.pdf'
교보증권,23.03.30,[Errno 2] No such file or directory: 'rawReport/66_1978.pdf'
유진투자증권,23.03.30,[Errno 2] No such file or directory: 'rawReport/66_1979.pdf'
하나증권,23.03.30,[Errno 2] No such file or directory: 'rawReport/66_1980.pdf'
