증권사,날짜,텍스트
교보증권,24.01.10,[Errno 2] No such file or directory: 'rawReport/14_391.pdf'
하나증권,24.01.10,[Errno 2] No such file or directory: 'rawReport/14_392.pdf'
유안타증권,24.01.10,[Errno 2] No such file or directory: 'rawReport/14_393.pdf'
다올투자증권,24.01.10,[Errno 2] No such file or directory: 'rawReport/14_394.pdf'
유진투자증권,24.01.10,[Errno 2] No such file or directory: 'rawReport/14_395.pdf'
신한투자증권,24.01.10,[Errno 2] No such file or directory: 'rawReport/14_396.pdf'
한화투자증권,24.01.09,[Errno 2] No such file or directory: 'rawReport/14_397.pdf'
교보증권,24.01.09,[Errno 2] No such file or directory: 'rawReport/14_398.pdf'
유안타증권,24.01.09,[Errno 2] No such file or directory: 'rawReport/14_399.pdf'
다올투자증권,24.01.09,[Errno 2] No such file or directory: 'rawReport/14_400.pdf'
유진투자증권,24.01.09,[Errno 2] No such file or directory: 'rawReport/14_401.pdf'
유안타증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_402.pdf'
신한투자증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_403.pdf'
한화투자증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_404.pdf'
교보증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_405.pdf'
하나증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_406.pdf'
하나증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_407.pdf'
유진투자증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_408.pdf'
키움증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_409.pdf'
다올투자증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_410.pdf'
IBK투자증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_411.pdf'
키움증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_412.pdf'
신한투자증권,24.01.08,[Errno 2] No such file or directory: 'rawReport/14_413.pdf'
하이투자증권,24.01.05,[Errno 2] No such file or directory: 'rawReport/14_414.pdf'
한화투자증권,24.01.05,[Errno 2] No such file or directory: 'rawReport/14_415.pdf'
교보증권,24.01.05,[Errno 2] No such file or directory: 'rawReport/14_416.pdf'
유진투자증권,24.01.05,[Errno 2] No such file or directory: 'rawReport/14_417.pdf'
다올투자증권,24.01.05,[Errno 2] No such file or directory: 'rawReport/14_418.pdf'
유안타증권,24.01.05,[Errno 2] No such file or directory: 'rawReport/14_419.pdf'
키움증권,24.01.05,[Errno 2] No such file or directory: 'rawReport/14_420.pdf'
