증권사,날짜,텍스트
교보증권,23.08.23,[Errno 2] No such file or directory: 'rawReport/38_1111.pdf'
하나증권,23.08.23,[Errno 2] No such file or directory: 'rawReport/38_1112.pdf'
이베스트증권,23.08.23,[Errno 2] No such file or directory: 'rawReport/38_1113.pdf'
이베스트증권,23.08.23,[Errno 2] No such file or directory: 'rawReport/38_1114.pdf'
다올투자증권,23.08.23,[Errno 2] No such file or directory: 'rawReport/38_1115.pdf'
유안타증권,23.08.23,[Errno 2] No such file or directory: 'rawReport/38_1116.pdf'
유진투자증권,23.08.23,[Errno 2] No such file or directory: 'rawReport/38_1117.pdf'
신한투자증권,23.08.22,[Errno 2] No such file or directory: 'rawReport/38_1118.pdf'
한화투자증권,23.08.22,[Errno 2] No such file or directory: 'rawReport/38_1119.pdf'
교보증권,23.08.22,[Errno 2] No such file or directory: 'rawReport/38_1120.pdf'
하나증권,23.08.22,[Errno 2] No such file or directory: 'rawReport/38_1121.pdf'
하나증권,23.08.22,[Errno 2] No such file or directory: 'rawReport/38_1122.pdf'
유안타증권,23.08.22,[Errno 2] No such file or directory: 'rawReport/38_1123.pdf'
유진투자증권,23.08.22,[Errno 2] No such file or directory: 'rawReport/38_1124.pdf'
다올투자증권,23.08.22,[Errno 2] No such file or directory: 'rawReport/38_1125.pdf'
신한투자증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1126.pdf'
한화투자증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1127.pdf'
한화투자증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1128.pdf'
교보증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1129.pdf'
다올투자증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1130.pdf'
유진투자증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1131.pdf'
키움증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1132.pdf'
키움증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1133.pdf'
유안타증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1134.pdf'
키움증권,23.08.21,[Errno 2] No such file or directory: 'rawReport/38_1135.pdf'
신한투자증권,23.08.18,[Errno 2] No such file or directory: 'rawReport/38_1136.pdf'
유안타증권,23.08.18,[Errno 2] No such file or directory: 'rawReport/38_1137.pdf'
한화투자증권,23.08.18,[Errno 2] No such file or directory: 'rawReport/38_1138.pdf'
교보증권,23.08.18,[Errno 2] No such file or directory: 'rawReport/38_1139.pdf'
유진투자증권,23.08.18,[Errno 2] No such file or directory: 'rawReport/38_1140.pdf'
