증권사,날짜,텍스트
다올투자증권,23.08.18,[Errno 2] No such file or directory: 'rawReport/39_1141.pdf'
메리츠증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1142.pdf'
유안타증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1143.pdf'
교보증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1144.pdf'
교보증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1145.pdf'
하나증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1146.pdf'
유진투자증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1147.pdf'
다올투자증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1148.pdf'
신한투자증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1149.pdf'
신한투자증권,23.08.17,[Errno 2] No such file or directory: 'rawReport/39_1150.pdf'
하이투자증권,23.08.16,[Errno 2] No such file or directory: 'rawReport/39_1151.pdf'
한화투자증권,23.08.16,[Errno 2] No such file or directory: 'rawReport/39_1152.pdf'
교보증권,23.08.16,[Errno 2] No such file or directory: 'rawReport/39_1153.pdf'
하나증권,23.08.16,[Errno 2] No such file or directory: 'rawReport/39_1154.pdf'
유진투자증권,23.08.16,[Errno 2] No such file or directory: 'rawReport/39_1155.pdf'
유안타증권,23.08.16,[Errno 2] No such file or directory: 'rawReport/39_1156.pdf'
다올투자증권,23.08.16,[Errno 2] No such file or directory: 'rawReport/39_1157.pdf'
한화투자증권,23.08.14,[Errno 2] No such file or directory: 'rawReport/39_1158.pdf'
교보증권,23.08.14,[Errno 2] No such file or directory: 'rawReport/39_1159.pdf'
다올투자증권,23.08.14,[Errno 2] No such file or directory: 'rawReport/39_1160.pdf'
유안타증권,23.08.14,[Errno 2] No such file or directory: 'rawReport/39_1161.pdf'
유진투자증권,23.08.14,[Errno 2] No such file or directory: 'rawReport/39_1162.pdf'
키움증권,23.08.14,[Errno 2] No such file or directory: 'rawReport/39_1163.pdf'
키움증권,23.08.14,[Errno 2] No such file or directory: 'rawReport/39_1164.pdf'
신한투자증권,23.08.11,[Errno 2] No such file or directory: 'rawReport/39_1165.pdf'
한화투자증권,23.08.11,[Errno 2] No such file or directory: 'rawReport/39_1166.pdf'
교보증권,23.08.11,[Errno 2] No such file or directory: 'rawReport/39_1167.pdf'
하나증권,23.08.11,[Errno 2] No such file or directory: 'rawReport/39_1168.pdf'
유안타증권,23.08.11,[Errno 2] No such file or directory: 'rawReport/39_1169.pdf'
다올투자증권,23.08.11,[Errno 2] No such file or directory: 'rawReport/39_1170.pdf'
