증권사,날짜,텍스트
신한투자증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1561.pdf'
교보증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1562.pdf'
교보증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1563.pdf'
다올투자증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1564.pdf'
하나증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1565.pdf'
유진투자증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1566.pdf'
유안타증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1567.pdf'
신한투자증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1568.pdf'
메리츠증권,23.06.08,[Errno 2] No such file or directory: 'rawReport/53_1569.pdf'
신한투자증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1570.pdf'
하이투자증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1571.pdf'
한화투자증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1572.pdf'
교보증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1573.pdf'
하나증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1574.pdf'
하나증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1575.pdf'
유진투자증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1576.pdf'
유안타증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1577.pdf'
다올투자증권,23.06.07,[Errno 2] No such file or directory: 'rawReport/53_1578.pdf'
신한투자증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1579.pdf'
한화투자증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1580.pdf'
교보증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1581.pdf'
다올투자증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1582.pdf'
유안타증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1583.pdf'
유진투자증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1584.pdf'
신한투자증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1585.pdf'
키움증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1586.pdf'
키움증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1587.pdf'
DS투자증권,23.06.05,[Errno 2] No such file or directory: 'rawReport/53_1588.pdf'
신한투자증권,23.06.02,[Errno 2] No such file or directory: 'rawReport/53_1589.pdf'
신한투자증권,23.06.02,[Errno 2] No such file or directory: 'rawReport/53_1590.pdf'
