증권사,날짜,텍스트
유안타증권,23.05.30,[Errno 2] No such file or directory: 'rawReport/55_1621.pdf'
신한투자증권,23.05.30,[Errno 2] No such file or directory: 'rawReport/55_1622.pdf'
키움증권,23.05.30,[Errno 2] No such file or directory: 'rawReport/55_1623.pdf'
키움증권,23.05.30,[Errno 2] No such file or directory: 'rawReport/55_1624.pdf'
유진투자증권,23.05.30,[Errno 2] No such file or directory: 'rawReport/55_1625.pdf'
다올투자증권,23.05.30,[Errno 2] No such file or directory: 'rawReport/55_1626.pdf'
신한투자증권,23.05.30,[Errno 2] No such file or directory: 'rawReport/55_1627.pdf'
하나증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1628.pdf'
교보증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1629.pdf'
이베스트증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1630.pdf'
하나증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1631.pdf'
교보증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1632.pdf'
한화투자증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1633.pdf'
한화투자증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1634.pdf'
한화투자증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1635.pdf'
유안타증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1636.pdf'
다올투자증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1637.pdf'
유진투자증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1638.pdf'
DS투자증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1639.pdf'
DS투자증권,23.05.26,[Errno 2] No such file or directory: 'rawReport/55_1640.pdf'
신한투자증권,23.05.25,[Errno 2] No such file or directory: 'rawReport/55_1641.pdf'
키움증권,23.05.25,[Errno 2] No such file or directory: 'rawReport/55_1642.pdf'
하이투자증권,23.05.25,[Errno 2] No such file or directory: 'rawReport/55_1643.pdf'
신한투자증권,23.05.25,[Errno 2] No such file or directory: 'rawReport/55_1644.pdf'
유안타증권,23.05.25,[Errno 2] No such file or directory: 'rawReport/55_1645.pdf'
교보증권,23.05.25,[Errno 2] No such file or directory: 'rawReport/55_1646.pdf'
다올투자증권,23.05.25,[Errno 2] No such file or directory: 'rawReport/55_1647.pdf'
유진투자증권,23.05.25,[Errno 2] No such file or directory: 'rawReport/55_1648.pdf'
신한투자증권,23.05.24,[Errno 2] No such file or directory: 'rawReport/55_1649.pdf'
유안타증권,23.05.24,[Errno 2] No such file or directory: 'rawReport/55_1650.pdf'
