증권사,날짜,텍스트
키움증권,23.04.28,[Errno 2] No such file or directory: 'rawReport/61_1801.pdf'
다올투자증권,23.04.28,[Errno 2] No such file or directory: 'rawReport/61_1802.pdf'
유진투자증권,23.04.28,[Errno 2] No such file or directory: 'rawReport/61_1803.pdf'
키움증권,23.04.28,[Errno 2] No such file or directory: 'rawReport/61_1804.pdf'
교보증권,23.04.27,[Errno 2] No such file or directory: 'rawReport/61_1805.pdf'
신한투자증권,23.04.27,[Errno 2] No such file or directory: 'rawReport/61_1806.pdf'
유진투자증권,23.04.27,[Errno 2] No such file or directory: 'rawReport/61_1807.pdf'
유안타증권,23.04.27,[Errno 2] No such file or directory: 'rawReport/61_1808.pdf'
하나증권,23.04.27,[Errno 2] No such file or directory: 'rawReport/61_1809.pdf'
하나증권,23.04.27,[Errno 2] No such file or directory: 'rawReport/61_1810.pdf'
하이투자증권,23.04.27,[Errno 2] No such file or directory: 'rawReport/61_1811.pdf'
다올투자증권,23.04.27,[Errno 2] No such file or directory: 'rawReport/61_1812.pdf'
유진투자증권,23.04.26,[Errno 2] No such file or directory: 'rawReport/61_1813.pdf'
유안타증권,23.04.26,[Errno 2] No such file or directory: 'rawReport/61_1814.pdf'
교보증권,23.04.26,[Errno 2] No such file or directory: 'rawReport/61_1815.pdf'
하나증권,23.04.26,[Errno 2] No such file or directory: 'rawReport/61_1816.pdf'
신한투자증권,23.04.26,[Errno 2] No such file or directory: 'rawReport/61_1817.pdf'
다올투자증권,23.04.26,[Errno 2] No such file or directory: 'rawReport/61_1818.pdf'
한국투자증권,23.04.25,[Errno 2] No such file or directory: 'rawReport/61_1819.pdf'
신한투자증권,23.04.25,[Errno 2] No such file or directory: 'rawReport/61_1820.pdf'
유안타증권,23.04.25,[Errno 2] No such file or directory: 'rawReport/61_1821.pdf'
한화투자증권,23.04.25,[Errno 2] No such file or directory: 'rawReport/61_1822.pdf'
교보증권,23.04.25,[Errno 2] No such file or directory: 'rawReport/61_1823.pdf'
신한투자증권,23.04.25,[Errno 2] No such file or directory: 'rawReport/61_1824.pdf'
유진투자증권,23.04.25,[Errno 2] No such file or directory: 'rawReport/61_1825.pdf'
다올투자증권,23.04.25,[Errno 2] No such file or directory: 'rawReport/61_1826.pdf'
한화투자증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/61_1827.pdf'
교보증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/61_1828.pdf'
교보증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/61_1829.pdf'
한화투자증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/61_1830.pdf'
