증권사,날짜,텍스트
대우증권,09.07.02,[Errno 2] No such file or directory: 'rawReport/221_6601.pdf'
대우증권,09.07.01,[Errno 2] No such file or directory: 'rawReport/221_6602.pdf'
대우증권,09.06.30,[Errno 2] No such file or directory: 'rawReport/221_6603.pdf'
대우증권,09.06.29,[Errno 2] No such file or directory: 'rawReport/221_6604.pdf'
대우증권,09.06.29,[Errno 2] No such file or directory: 'rawReport/221_6605.pdf'
대우증권,09.06.26,[Errno 2] No such file or directory: 'rawReport/221_6606.pdf'
대우증권,09.06.25,[Errno 2] No such file or directory: 'rawReport/221_6607.pdf'
대우증권,09.06.24,[Errno 2] No such file or directory: 'rawReport/221_6608.pdf'
대우증권,09.06.23,[Errno 2] No such file or directory: 'rawReport/221_6609.pdf'
대우증권,09.06.22,[Errno 2] No such file or directory: 'rawReport/221_6610.pdf'
대우증권,09.06.22,[Errno 2] No such file or directory: 'rawReport/221_6611.pdf'
대우증권,09.06.19,[Errno 2] No such file or directory: 'rawReport/221_6612.pdf'
대우증권,09.06.18,[Errno 2] No such file or directory: 'rawReport/221_6613.pdf'
대우증권,09.06.17,[Errno 2] No such file or directory: 'rawReport/221_6614.pdf'
대우증권,09.06.16,[Errno 2] No such file or directory: 'rawReport/221_6615.pdf'
대우증권,09.06.15,[Errno 2] No such file or directory: 'rawReport/221_6616.pdf'
대우증권,09.06.15,[Errno 2] No such file or directory: 'rawReport/221_6617.pdf'
대우증권,09.06.12,[Errno 2] No such file or directory: 'rawReport/221_6618.pdf'
대우증권,09.06.12,[Errno 2] No such file or directory: 'rawReport/221_6619.pdf'
대우증권,09.06.11,[Errno 2] No such file or directory: 'rawReport/221_6620.pdf'
대우증권,09.06.10,[Errno 2] No such file or directory: 'rawReport/221_6621.pdf'
대우증권,09.06.09,[Errno 2] No such file or directory: 'rawReport/221_6622.pdf'
대우증권,09.06.08,[Errno 2] No such file or directory: 'rawReport/221_6623.pdf'
대우증권,09.06.08,[Errno 2] No such file or directory: 'rawReport/221_6624.pdf'
대우증권,09.06.05,[Errno 2] No such file or directory: 'rawReport/221_6625.pdf'
대우증권,09.06.04,[Errno 2] No such file or directory: 'rawReport/221_6626.pdf'
대우증권,09.06.04,[Errno 2] No such file or directory: 'rawReport/221_6627.pdf'
대우증권,09.06.03,[Errno 2] No such file or directory: 'rawReport/221_6628.pdf'
대우증권,09.06.02,[Errno 2] No such file or directory: 'rawReport/221_6629.pdf'
대우증권,09.06.01,[Errno 2] No such file or directory: 'rawReport/221_6630.pdf'
