증권사,날짜,텍스트
키움증권,23.07.25,[Errno 2] No such file or directory: 'rawReport/44_1291.pdf'
유안타증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1292.pdf'
한화투자증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1293.pdf'
한화투자증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1294.pdf'
교보증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1295.pdf'
다올투자증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1296.pdf'
신한투자증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1297.pdf'
유진투자증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1298.pdf'
키움증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1299.pdf'
키움증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1300.pdf'
키움증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1301.pdf'
한국투자증권,23.07.24,[Errno 2] No such file or directory: 'rawReport/44_1302.pdf'
이베스트증권,23.07.21,[Errno 2] No such file or directory: 'rawReport/44_1303.pdf'
교보증권,23.07.21,[Errno 2] No such file or directory: 'rawReport/44_1304.pdf'
신한투자증권,23.07.21,[Errno 2] No such file or directory: 'rawReport/44_1305.pdf'
다올투자증권,23.07.21,[Errno 2] No such file or directory: 'rawReport/44_1306.pdf'
유안타증권,23.07.21,[Errno 2] No such file or directory: 'rawReport/44_1307.pdf'
유진투자증권,23.07.21,[Errno 2] No such file or directory: 'rawReport/44_1308.pdf'
신한투자증권,23.07.21,[Errno 2] No such file or directory: 'rawReport/44_1309.pdf'
메리츠증권,23.07.21,[Errno 2] No such file or directory: 'rawReport/44_1310.pdf'
신한투자증권,23.07.20,[Errno 2] No such file or directory: 'rawReport/44_1311.pdf'
하나증권,23.07.20,[Errno 2] No such file or directory: 'rawReport/44_1312.pdf'
교보증권,23.07.20,[Errno 2] No such file or directory: 'rawReport/44_1313.pdf'
교보증권,23.07.20,[Errno 2] No such file or directory: 'rawReport/44_1314.pdf'
신한투자증권,23.07.20,[Errno 2] No such file or directory: 'rawReport/44_1315.pdf'
다올투자증권,23.07.20,[Errno 2] No such file or directory: 'rawReport/44_1316.pdf'
유안타증권,23.07.20,[Errno 2] No such file or directory: 'rawReport/44_1317.pdf'
유진투자증권,23.07.20,[Errno 2] No such file or directory: 'rawReport/44_1318.pdf'
유안타증권,23.07.19,[Errno 2] No such file or directory: 'rawReport/44_1319.pdf'
교보증권,23.07.19,[Errno 2] No such file or directory: 'rawReport/44_1320.pdf'
