증권사,날짜,텍스트
현대차증권,15.02.09,[Errno 2] No such file or directory: 'rawReport/171_5101.pdf'
이트레이드증권,15.02.09,[Errno 2] No such file or directory: 'rawReport/171_5102.pdf'
이트레이드증권,15.02.06,[Errno 2] No such file or directory: 'rawReport/171_5103.pdf'
이트레이드증권,15.02.05,[Errno 2] No such file or directory: 'rawReport/171_5104.pdf'
대신증권,15.02.04,[Errno 2] No such file or directory: 'rawReport/171_5105.pdf'
이트레이드증권,15.02.03,[Errno 2] No such file or directory: 'rawReport/171_5106.pdf'
현대차증권,15.02.02,[Errno 2] No such file or directory: 'rawReport/171_5107.pdf'
현대차증권,15.02.02,[Errno 2] No such file or directory: 'rawReport/171_5108.pdf'
IBK투자증권,15.02.02,[Errno 2] No such file or directory: 'rawReport/171_5109.pdf'
이트레이드증권,15.02.02,[Errno 2] No such file or directory: 'rawReport/171_5110.pdf'
대신증권,15.01.30,[Errno 2] No such file or directory: 'rawReport/171_5111.pdf'
키움증권,15.01.30,[Errno 2] No such file or directory: 'rawReport/171_5112.pdf'
이트레이드증권,15.01.28,[Errno 2] No such file or directory: 'rawReport/171_5113.pdf'
이트레이드증권,15.01.27,[Errno 2] No such file or directory: 'rawReport/171_5114.pdf'
이트레이드증권,15.01.27,[Errno 2] No such file or directory: 'rawReport/171_5115.pdf'
키움증권,15.01.26,[Errno 2] No such file or directory: 'rawReport/171_5116.pdf'
대신증권,15.01.26,[Errno 2] No such file or directory: 'rawReport/171_5117.pdf'
이트레이드증권,15.01.23,[Errno 2] No such file or directory: 'rawReport/171_5118.pdf'
키움증권,15.01.19,[Errno 2] No such file or directory: 'rawReport/171_5119.pdf'
대신증권,15.01.19,[Errno 2] No such file or directory: 'rawReport/171_5120.pdf'
현대차증권,15.01.19,[Errno 2] No such file or directory: 'rawReport/171_5121.pdf'
IBK투자증권,15.01.19,[Errno 2] No such file or directory: 'rawReport/171_5122.pdf'
IBK투자증권,15.01.19,[Errno 2] No such file or directory: 'rawReport/171_5123.pdf'
키움증권,15.01.16,[Errno 2] No such file or directory: 'rawReport/171_5124.pdf'
현대차증권,15.01.16,[Errno 2] No such file or directory: 'rawReport/171_5125.pdf'
이트레이드증권,15.01.13,[Errno 2] No such file or directory: 'rawReport/171_5126.pdf'
이트레이드증권,15.01.13,[Errno 2] No such file or directory: 'rawReport/171_5127.pdf'
이트레이드증권,15.01.13,[Errno 2] No such file or directory: 'rawReport/171_5128.pdf'
키움증권,15.01.12,[Errno 2] No such file or directory: 'rawReport/171_5129.pdf'
대신증권,15.01.12,[Errno 2] No such file or directory: 'rawReport/171_5130.pdf'
