증권사,날짜,텍스트
다올투자증권,23.03.21,[Errno 2] No such file or directory: 'rawReport/69_2041.pdf'
신한투자증권,23.03.21,[Errno 2] No such file or directory: 'rawReport/69_2042.pdf'
메리츠증권,23.03.21,[Errno 2] No such file or directory: 'rawReport/69_2043.pdf'
신한투자증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2044.pdf'
신한투자증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2045.pdf'
유진투자증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2046.pdf'
유안타증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2047.pdf'
한화투자증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2048.pdf'
교보증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2049.pdf'
다올투자증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2050.pdf'
신한투자증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2051.pdf'
키움증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2052.pdf'
신한투자증권,23.03.20,[Errno 2] No such file or directory: 'rawReport/69_2053.pdf'
유진투자증권,23.03.17,[Errno 2] No such file or directory: 'rawReport/69_2054.pdf'
유안타증권,23.03.17,[Errno 2] No such file or directory: 'rawReport/69_2055.pdf'
교보증권,23.03.17,[Errno 2] No such file or directory: 'rawReport/69_2056.pdf'
교보증권,23.03.17,[Errno 2] No such file or directory: 'rawReport/69_2057.pdf'
하나증권,23.03.17,[Errno 2] No such file or directory: 'rawReport/69_2058.pdf'
다올투자증권,23.03.17,[Errno 2] No such file or directory: 'rawReport/69_2059.pdf'
신한투자증권,23.03.17,[Errno 2] No such file or directory: 'rawReport/69_2060.pdf'
신한투자증권,23.03.17,[Errno 2] No such file or directory: 'rawReport/69_2061.pdf'
메리츠증권,23.03.16,[Errno 2] No such file or directory: 'rawReport/69_2062.pdf'
신한투자증권,23.03.16,[Errno 2] No such file or directory: 'rawReport/69_2063.pdf'
유진투자증권,23.03.16,[Errno 2] No such file or directory: 'rawReport/69_2064.pdf'
유안타증권,23.03.16,[Errno 2] No such file or directory: 'rawReport/69_2065.pdf'
교보증권,23.03.16,[Errno 2] No such file or directory: 'rawReport/69_2066.pdf'
다올투자증권,23.03.16,[Errno 2] No such file or directory: 'rawReport/69_2067.pdf'
신한투자증권,23.03.15,[Errno 2] No such file or directory: 'rawReport/69_2068.pdf'
유안타증권,23.03.15,[Errno 2] No such file or directory: 'rawReport/69_2069.pdf'
유진투자증권,23.03.15,[Errno 2] No such file or directory: 'rawReport/69_2070.pdf'
