증권사,날짜,텍스트
한화투자증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1381.pdf'
교보증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1382.pdf'
유안타증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1383.pdf'
신한투자증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1384.pdf'
신한투자증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1385.pdf'
유진투자증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1386.pdf'
다올투자증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1387.pdf'
키움증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1388.pdf'
키움증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1389.pdf'
신한투자증권,23.07.10,[Errno 2] No such file or directory: 'rawReport/47_1390.pdf'
다올투자증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1391.pdf'
유안타증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1392.pdf'
한화투자증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1393.pdf'
교보증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1394.pdf'
이베스트증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1395.pdf'
신한투자증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1396.pdf'
유진투자증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1397.pdf'
키움증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1398.pdf'
DS투자증권,23.07.07,[Errno 2] No such file or directory: 'rawReport/47_1399.pdf'
교보증권,23.07.06,[Errno 2] No such file or directory: 'rawReport/47_1400.pdf'
교보증권,23.07.06,[Errno 2] No such file or directory: 'rawReport/47_1401.pdf'
유안타증권,23.07.06,[Errno 2] No such file or directory: 'rawReport/47_1402.pdf'
신한투자증권,23.07.06,[Errno 2] No such file or directory: 'rawReport/47_1403.pdf'
다올투자증권,23.07.06,[Errno 2] No such file or directory: 'rawReport/47_1404.pdf'
유진투자증권,23.07.06,[Errno 2] No such file or directory: 'rawReport/47_1405.pdf'
이베스트증권,23.07.05,[Errno 2] No such file or directory: 'rawReport/47_1406.pdf'
신한투자증권,23.07.05,[Errno 2] No such file or directory: 'rawReport/47_1407.pdf'
교보증권,23.07.05,[Errno 2] No such file or directory: 'rawReport/47_1408.pdf'
유안타증권,23.07.05,[Errno 2] No such file or directory: 'rawReport/47_1409.pdf'
하나증권,23.07.05,[Errno 2] No such file or directory: 'rawReport/47_1410.pdf'
