증권사,날짜,텍스트
IBK투자증권,16.12.02,[Errno 2] No such file or directory: 'rawReport/144_4291.pdf'
하나증권,16.12.01,[Errno 2] No such file or directory: 'rawReport/144_4292.pdf'
현대차증권,16.12.01,[Errno 2] No such file or directory: 'rawReport/144_4293.pdf'
하나증권,16.11.30,[Errno 2] No such file or directory: 'rawReport/144_4294.pdf'
이베스트투자증권,16.11.30,[Errno 2] No such file or directory: 'rawReport/144_4295.pdf'
LIG투자증권,16.11.28,[Errno 2] No such file or directory: 'rawReport/144_4296.pdf'
IBK투자증권,16.11.28,[Errno 2] No such file or directory: 'rawReport/144_4297.pdf'
하나증권,16.11.24,[Errno 2] No such file or directory: 'rawReport/144_4298.pdf'
하나증권,16.11.23,[Errno 2] No such file or directory: 'rawReport/144_4299.pdf'
하나증권,16.11.23,[Errno 2] No such file or directory: 'rawReport/144_4300.pdf'
IBK투자증권,16.11.23,[Errno 2] No such file or directory: 'rawReport/144_4301.pdf'
현대차증권,16.11.21,[Errno 2] No such file or directory: 'rawReport/144_4302.pdf'
현대차증권,16.11.21,[Errno 2] No such file or directory: 'rawReport/144_4303.pdf'
IBK투자증권,16.11.21,[Errno 2] No such file or directory: 'rawReport/144_4304.pdf'
키움증권,16.11.17,[Errno 2] No such file or directory: 'rawReport/144_4305.pdf'
하나증권,16.11.16,[Errno 2] No such file or directory: 'rawReport/144_4306.pdf'
하나증권,16.11.16,[Errno 2] No such file or directory: 'rawReport/144_4307.pdf'
LIG투자증권,16.11.14,[Errno 2] No such file or directory: 'rawReport/144_4308.pdf'
현대차증권,16.11.14,[Errno 2] No such file or directory: 'rawReport/144_4309.pdf'
현대차증권,16.11.10,[Errno 2] No such file or directory: 'rawReport/144_4310.pdf'
하나증권,16.11.07,[Errno 2] No such file or directory: 'rawReport/144_4311.pdf'
현대차증권,16.11.07,[Errno 2] No such file or directory: 'rawReport/144_4312.pdf'
IBK투자증권,16.11.07,[Errno 2] No such file or directory: 'rawReport/144_4313.pdf'
이베스트투자증권,16.11.03,[Errno 2] No such file or directory: 'rawReport/144_4314.pdf'
이베스트투자증권,16.11.02,[Errno 2] No such file or directory: 'rawReport/144_4315.pdf'
하나증권,16.11.01,[Errno 2] No such file or directory: 'rawReport/144_4316.pdf'
현대차증권,16.10.31,[Errno 2] No such file or directory: 'rawReport/144_4317.pdf'
현대차증권,16.10.31,[Errno 2] No such file or directory: 'rawReport/144_4318.pdf'
하나증권,16.10.27,[Errno 2] No such file or directory: 'rawReport/144_4319.pdf'
하나증권,16.10.26,[Errno 2] No such file or directory: 'rawReport/144_4320.pdf'
