증권사,날짜,텍스트
대신증권,14.10.10,[Errno 2] No such file or directory: 'rawReport/174_5191.pdf'
키움증권,14.10.06,[Errno 2] No such file or directory: 'rawReport/174_5192.pdf'
현대차증권,14.10.06,[Errno 2] No such file or directory: 'rawReport/174_5193.pdf'
현대차증권,14.10.06,[Errno 2] No such file or directory: 'rawReport/174_5194.pdf'
IBK투자증권,14.10.06,[Errno 2] No such file or directory: 'rawReport/174_5195.pdf'
키움증권,14.09.29,[Errno 2] No such file or directory: 'rawReport/174_5196.pdf'
대신증권,14.09.29,[Errno 2] No such file or directory: 'rawReport/174_5197.pdf'
현대차증권,14.09.29,[Errno 2] No such file or directory: 'rawReport/174_5198.pdf'
현대차증권,14.09.29,[Errno 2] No such file or directory: 'rawReport/174_5199.pdf'
키움증권,14.09.22,[Errno 2] No such file or directory: 'rawReport/174_5200.pdf'
대신증권,14.09.22,[Errno 2] No such file or directory: 'rawReport/174_5201.pdf'
현대차증권,14.09.22,[Errno 2] No such file or directory: 'rawReport/174_5202.pdf'
현대차증권,14.09.22,[Errno 2] No such file or directory: 'rawReport/174_5203.pdf'
IBK투자증권,14.09.22,[Errno 2] No such file or directory: 'rawReport/174_5204.pdf'
키움증권,14.09.15,[Errno 2] No such file or directory: 'rawReport/174_5205.pdf'
현대차증권,14.09.15,[Errno 2] No such file or directory: 'rawReport/174_5206.pdf'
IBK투자증권,14.09.15,[Errno 2] No such file or directory: 'rawReport/174_5207.pdf'
대신증권,14.09.12,[Errno 2] No such file or directory: 'rawReport/174_5208.pdf'
현대차증권,14.09.11,[Errno 2] No such file or directory: 'rawReport/174_5209.pdf'
대신증권,14.09.05,[Errno 2] No such file or directory: 'rawReport/174_5210.pdf'
키움증권,14.09.01,[Errno 2] No such file or directory: 'rawReport/174_5211.pdf'
현대차증권,14.09.01,[Errno 2] No such file or directory: 'rawReport/174_5212.pdf'
현대차증권,14.09.01,[Errno 2] No such file or directory: 'rawReport/174_5213.pdf'
IBK투자증권,14.09.01,[Errno 2] No such file or directory: 'rawReport/174_5214.pdf'
대신증권,14.08.29,[Errno 2] No such file or directory: 'rawReport/174_5215.pdf'
키움증권,14.08.25,[Errno 2] No such file or directory: 'rawReport/174_5216.pdf'
대신증권,14.08.25,[Errno 2] No such file or directory: 'rawReport/174_5217.pdf'
현대차증권,14.08.25,[Errno 2] No such file or directory: 'rawReport/174_5218.pdf'
대신증권,14.08.19,[Errno 2] No such file or directory: 'rawReport/174_5219.pdf'
키움증권,14.08.18,[Errno 2] No such file or directory: 'rawReport/174_5220.pdf'
