증권사,날짜,텍스트
신한투자증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/62_1831.pdf'
유진투자증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/62_1832.pdf'
유안타증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/62_1833.pdf'
유안타증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/62_1834.pdf'
키움증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/62_1835.pdf'
다올투자증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/62_1836.pdf'
신한투자증권,23.04.24,[Errno 2] No such file or directory: 'rawReport/62_1837.pdf'
유진투자증권,23.04.21,[Errno 2] No such file or directory: 'rawReport/62_1838.pdf'
유안타증권,23.04.21,[Errno 2] No such file or directory: 'rawReport/62_1839.pdf'
교보증권,23.04.21,[Errno 2] No such file or directory: 'rawReport/62_1840.pdf'
이베스트증권,23.04.21,[Errno 2] No such file or directory: 'rawReport/62_1841.pdf'
다올투자증권,23.04.21,[Errno 2] No such file or directory: 'rawReport/62_1842.pdf'
신한투자증권,23.04.21,[Errno 2] No such file or directory: 'rawReport/62_1843.pdf'
하나증권,23.04.20,[Errno 2] No such file or directory: 'rawReport/62_1844.pdf'
교보증권,23.04.20,[Errno 2] No such file or directory: 'rawReport/62_1845.pdf'
유안타증권,23.04.20,[Errno 2] No such file or directory: 'rawReport/62_1846.pdf'
신한투자증권,23.04.20,[Errno 2] No such file or directory: 'rawReport/62_1847.pdf'
유진투자증권,23.04.20,[Errno 2] No such file or directory: 'rawReport/62_1848.pdf'
다올투자증권,23.04.20,[Errno 2] No such file or directory: 'rawReport/62_1849.pdf'
메리츠증권,23.04.20,[Errno 2] No such file or directory: 'rawReport/62_1850.pdf'
신한투자증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1851.pdf'
유안타증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1852.pdf'
교보증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1853.pdf'
유진투자증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1854.pdf'
신한투자증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1855.pdf'
하나증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1856.pdf'
다올투자증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1857.pdf'
한국투자증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1858.pdf'
신한투자증권,23.04.19,[Errno 2] No such file or directory: 'rawReport/62_1859.pdf'
유안타증권,23.04.18,[Errno 2] No such file or directory: 'rawReport/62_1860.pdf'
