증권사,날짜,텍스트
교보증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/77_2281.pdf'
하나증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/77_2282.pdf'
다올투자증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/77_2283.pdf'
유진투자증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/77_2284.pdf'
키움증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/77_2285.pdf'
신한투자증권,23.02.03,[Errno 2] No such file or directory: 'rawReport/77_2286.pdf'
신한투자증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2287.pdf'
신한투자증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2288.pdf'
유진투자증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2289.pdf'
유안타증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2290.pdf'
한화투자증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2291.pdf'
교보증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2292.pdf'
교보증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2293.pdf'
하나증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2294.pdf'
이베스트증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2295.pdf'
다올투자증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2296.pdf'
키움증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2297.pdf'
하이투자증권,23.02.02,[Errno 2] No such file or directory: 'rawReport/77_2298.pdf'
신한투자증권,23.02.01,[Errno 2] No such file or directory: 'rawReport/77_2299.pdf'
유안타증권,23.02.01,[Errno 2] No such file or directory: 'rawReport/77_2300.pdf'
교보증권,23.02.01,[Errno 2] No such file or directory: 'rawReport/77_2301.pdf'
유진투자증권,23.02.01,[Errno 2] No such file or directory: 'rawReport/77_2302.pdf'
한화투자증권,23.02.01,[Errno 2] No such file or directory: 'rawReport/77_2303.pdf'
하나증권,23.02.01,[Errno 2] No such file or directory: 'rawReport/77_2304.pdf'
하나증권,23.02.01,[Errno 2] No such file or directory: 'rawReport/77_2305.pdf'
다올투자증권,23.02.01,[Errno 2] No such file or directory: 'rawReport/77_2306.pdf'
교보증권,23.01.31,[Errno 2] No such file or directory: 'rawReport/77_2307.pdf'
유진투자증권,23.01.31,[Errno 2] No such file or directory: 'rawReport/77_2308.pdf'
다올투자증권,23.01.31,[Errno 2] No such file or directory: 'rawReport/77_2309.pdf'
유안타증권,23.01.31,[Errno 2] No such file or directory: 'rawReport/77_2310.pdf'
