증권사,날짜,텍스트
신한투자증권,22.12.08,[Errno 2] No such file or directory: 'rawReport/85_2521.pdf'
유안타증권,22.12.08,[Errno 2] No such file or directory: 'rawReport/85_2522.pdf'
하나증권,22.12.08,[Errno 2] No such file or directory: 'rawReport/85_2523.pdf'
미래에셋증권,22.12.07,[Errno 2] No such file or directory: 'rawReport/85_2524.pdf'
유안타증권,22.12.07,[Errno 2] No such file or directory: 'rawReport/85_2525.pdf'
하나증권,22.12.07,[Errno 2] No such file or directory: 'rawReport/85_2526.pdf'
유안타증권,22.12.06,[Errno 2] No such file or directory: 'rawReport/85_2527.pdf'
하이투자증권,22.12.06,[Errno 2] No such file or directory: 'rawReport/85_2528.pdf'
신한투자증권,22.12.05,[Errno 2] No such file or directory: 'rawReport/85_2529.pdf'
유안타증권,22.12.05,[Errno 2] No such file or directory: 'rawReport/85_2530.pdf'
유안타증권,22.12.05,[Errno 2] No such file or directory: 'rawReport/85_2531.pdf'
신한투자증권,22.12.02,[Errno 2] No such file or directory: 'rawReport/85_2532.pdf'
한화투자증권,22.12.02,[Errno 2] No such file or directory: 'rawReport/85_2533.pdf'
유안타증권,22.12.02,[Errno 2] No such file or directory: 'rawReport/85_2534.pdf'
신한투자증권,22.12.02,[Errno 2] No such file or directory: 'rawReport/85_2535.pdf'
신한투자증권,22.12.02,[Errno 2] No such file or directory: 'rawReport/85_2536.pdf'
신한투자증권,22.12.01,[Errno 2] No such file or directory: 'rawReport/85_2537.pdf'
하나증권,22.12.01,[Errno 2] No such file or directory: 'rawReport/85_2538.pdf'
이베스트증권,22.12.01,[Errno 2] No such file or directory: 'rawReport/85_2539.pdf'
유안타증권,22.12.01,[Errno 2] No such file or directory: 'rawReport/85_2540.pdf'
하이투자증권,22.12.01,[Errno 2] No such file or directory: 'rawReport/85_2541.pdf'
유안타증권,22.11.30,[Errno 2] No such file or directory: 'rawReport/85_2542.pdf'
유안타증권,22.11.29,[Errno 2] No such file or directory: 'rawReport/85_2543.pdf'
이베스트증권,22.11.29,[Errno 2] No such file or directory: 'rawReport/85_2544.pdf'
하이투자증권,22.11.29,[Errno 2] No such file or directory: 'rawReport/85_2545.pdf'
신한투자증권,22.11.28,[Errno 2] No such file or directory: 'rawReport/85_2546.pdf'
유안타증권,22.11.28,[Errno 2] No such file or directory: 'rawReport/85_2547.pdf'
한화투자증권,22.11.28,[Errno 2] No such file or directory: 'rawReport/85_2548.pdf'
교보증권,22.11.28,[Errno 2] No such file or directory: 'rawReport/85_2549.pdf'
신한투자증권,22.11.25,[Errno 2] No such file or directory: 'rawReport/85_2550.pdf'
