증권사,날짜,텍스트
유안타증권,23.10.19,[Errno 2] No such file or directory: 'rawReport/29_841.pdf'
신한투자증권,23.10.18,[Errno 2] No such file or directory: 'rawReport/29_842.pdf'
교보증권,23.10.18,[Errno 2] No such file or directory: 'rawReport/29_843.pdf'
하나증권,23.10.18,[Errno 2] No such file or directory: 'rawReport/29_844.pdf'
하나증권,23.10.18,[Errno 2] No such file or directory: 'rawReport/29_845.pdf'
유안타증권,23.10.18,[Errno 2] No such file or directory: 'rawReport/29_846.pdf'
다올투자증권,23.10.18,[Errno 2] No such file or directory: 'rawReport/29_847.pdf'
유진투자증권,23.10.18,[Errno 2] No such file or directory: 'rawReport/29_848.pdf'
한화투자증권,23.10.17,[Errno 2] No such file or directory: 'rawReport/29_849.pdf'
교보증권,23.10.17,[Errno 2] No such file or directory: 'rawReport/29_850.pdf'
다올투자증권,23.10.17,[Errno 2] No such file or directory: 'rawReport/29_851.pdf'
유안타증권,23.10.17,[Errno 2] No such file or directory: 'rawReport/29_852.pdf'
유진투자증권,23.10.17,[Errno 2] No such file or directory: 'rawReport/29_853.pdf'
유안타증권,23.10.17,[Errno 2] No such file or directory: 'rawReport/29_854.pdf'
신한투자증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_855.pdf'
신한투자증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_856.pdf'
유안타증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_857.pdf'
한화투자증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_858.pdf'
교보증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_859.pdf'
하나증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_860.pdf'
유진투자증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_861.pdf'
다올투자증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_862.pdf'
키움증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_863.pdf'
키움증권,23.10.16,[Errno 2] No such file or directory: 'rawReport/29_864.pdf'
신한투자증권,23.10.13,[Errno 2] No such file or directory: 'rawReport/29_865.pdf'
한화투자증권,23.10.13,[Errno 2] No such file or directory: 'rawReport/29_866.pdf'
교보증권,23.10.13,[Errno 2] No such file or directory: 'rawReport/29_867.pdf'
이베스트증권,23.10.13,[Errno 2] No such file or directory: 'rawReport/29_868.pdf'
다올투자증권,23.10.13,[Errno 2] No such file or directory: 'rawReport/29_869.pdf'
유진투자증권,23.10.13,[Errno 2] No such file or directory: 'rawReport/29_870.pdf'
