증권사,날짜,텍스트
다올투자증권,23.02.22,[Errno 2] No such file or directory: 'rawReport/74_2191.pdf'
유안타증권,23.02.22,[Errno 2] No such file or directory: 'rawReport/74_2192.pdf'
유안타증권,23.02.22,[Errno 2] No such file or directory: 'rawReport/74_2193.pdf'
교보증권,23.02.22,[Errno 2] No such file or directory: 'rawReport/74_2194.pdf'
하나증권,23.02.22,[Errno 2] No such file or directory: 'rawReport/74_2195.pdf'
하나증권,23.02.22,[Errno 2] No such file or directory: 'rawReport/74_2196.pdf'
유진투자증권,23.02.21,[Errno 2] No such file or directory: 'rawReport/74_2197.pdf'
유안타증권,23.02.21,[Errno 2] No such file or directory: 'rawReport/74_2198.pdf'
한화투자증권,23.02.21,[Errno 2] No such file or directory: 'rawReport/74_2199.pdf'
교보증권,23.02.21,[Errno 2] No such file or directory: 'rawReport/74_2200.pdf'
신한투자증권,23.02.21,[Errno 2] No such file or directory: 'rawReport/74_2201.pdf'
신한투자증권,23.02.20,[Errno 2] No such file or directory: 'rawReport/74_2202.pdf'
유안타증권,23.02.20,[Errno 2] No such file or directory: 'rawReport/74_2203.pdf'
한화투자증권,23.02.20,[Errno 2] No such file or directory: 'rawReport/74_2204.pdf'
교보증권,23.02.20,[Errno 2] No such file or directory: 'rawReport/74_2205.pdf'
키움증권,23.02.20,[Errno 2] No such file or directory: 'rawReport/74_2206.pdf'
키움증권,23.02.20,[Errno 2] No such file or directory: 'rawReport/74_2207.pdf'
유진투자증권,23.02.20,[Errno 2] No such file or directory: 'rawReport/74_2208.pdf'
다올투자증권,23.02.20,[Errno 2] No such file or directory: 'rawReport/74_2209.pdf'
신한투자증권,23.02.17,[Errno 2] No such file or directory: 'rawReport/74_2210.pdf'
신한투자증권,23.02.17,[Errno 2] No such file or directory: 'rawReport/74_2211.pdf'
유진투자증권,23.02.17,[Errno 2] No such file or directory: 'rawReport/74_2212.pdf'
다올투자증권,23.02.17,[Errno 2] No such file or directory: 'rawReport/74_2213.pdf'
유안타증권,23.02.17,[Errno 2] No such file or directory: 'rawReport/74_2214.pdf'
교보증권,23.02.17,[Errno 2] No such file or directory: 'rawReport/74_2215.pdf'
신한투자증권,23.02.16,[Errno 2] No such file or directory: 'rawReport/74_2216.pdf'
유진투자증권,23.02.16,[Errno 2] No such file or directory: 'rawReport/74_2217.pdf'
다올투자증권,23.02.16,[Errno 2] No such file or directory: 'rawReport/74_2218.pdf'
유안타증권,23.02.16,[Errno 2] No such file or directory: 'rawReport/74_2219.pdf'
교보증권,23.02.16,[Errno 2] No such file or directory: 'rawReport/74_2220.pdf'
